datum,Ostschweiz,Schweiz
2021-04-13,8.774645950105445,8.632883100131222
2021-04-14,8.847917166598858,8.578168902405592
2021-04-15,9.063439456757454,8.596311648722743
2021-04-16,9.400473209092969,8.6815849468128
2021-04-17,9.873919055174692,8.77320001527554
2021-04-18,10.481721164188759,8.932862591451793
2021-04-19,10.989015306830266,8.921471809232594
2021-04-20,11.310851383180326,8.944951687878623
2021-04-21,11.512127906860943,8.866783917803575
2021-04-22,12.26662325338665,8.848810848500039
2021-04-23,11.834217096880518,8.7460901831817
2021-04-24,11.573002302111165,8.501907731067039
2021-04-25,11.453365683912638,8.322465874196777
2021-04-26,11.256033142314617,8.176221243713888
2021-04-27,10.777862358606596,7.897812009588203
2021-04-28,10.341192687207647,7.712225884123292
2021-04-29,9.606549387508583,7.502986657891201
2021-04-30,9.370143713020036,7.338468226964541
2021-05-01,9.221509478892767,7.234440064621735
2021-05-02,8.822854037169492,7.0687206625631305
2021-05-03,8.45666990126504,6.946742017399459
2021-05-04,8.379207584099232,6.902189781662379
2021-05-05,8.327023453916539,6.815770704520342
2021-05-06,8.702773196192632,6.707546432496139
2021-05-07,8.525569639509275,6.394585796749863
2021-05-08,8.06475080031475,5.9756839249999345
2021-05-09,7.826343658044145,5.642830294038971
2021-05-10,7.878237117452196,5.5719246408433
2021-05-11,7.8092475530474745,5.466503866039168
2021-05-12,7.441920961393864,5.242871541066501
2021-05-13,6.77850349650581,4.980630761329201
2021-05-14,7.176327531012885,5.03748687647429
2021-05-15,7.549293925999473,5.199674205632225
2021-05-16,7.7177647814252,5.2197529449350935
2021-05-17,7.486637355436961,4.982832515232945
2021-05-18,7.392937758344869,4.749857640133554
2021-05-19,7.625895671800707,4.546463967484555
2021-05-20,7.590005635910671,4.306407031761032
2021-05-21,7.769435329691551,4.204931528034898
2021-05-22,7.662687325169432,4.057237692611608
2021-05-23,7.511509894197277,3.996188602397706
2021-05-24,7.57371231585805,4.0148213818069935
2021-05-25,7.445205105698939,3.9848130898736343
2021-05-26,7.356580894716338,3.935106936961486
2021-05-27,7.012665550800994,3.8740580639140627
2021-05-28,6.390117060800368,3.65923090451624
2021-05-29,6.182963777085319,3.4224307604909465
2021-05-30,6.124547895886431,3.1954261759365417
2021-05-31,5.861760374005521,3.031789365533229
2021-06-01,5.743217146658716,2.914580560509029
2021-06-02,5.296643267909313,2.771616593061395
2021-06-03,5.217150077035977,2.5004303447097636
2021-06-04,4.982019928921465,2.3739928722182997
2021-06-05,4.819407321925404,2.3650850745697136
2021-06-06,4.5063268296426795,2.3236416154113235
2021-06-07,4.336989949771345,2.2457340615336387
2021-06-08,4.122954414642559,2.149797009784454
2021-06-09,3.9674939401595064,2.0548021794118894
2021-06-10,3.5088415671803377,2.005634044419131
2021-06-11,3.34961859929225,1.8541475149488413
2021-06-12,3.0790296511752397,1.6885642091946378
2021-06-13,2.99573982669573,1.5769340957690847
2021-06-14,2.799974538972274,1.4621568133572542
2021-06-15,2.6762527022481457,1.375034579751288
2021-06-16,2.3736465457206917,1.2499792812385258
2021-06-17,2.2801783529594397,1.119887149512422
2021-06-18,1.923475390275508,1.0129801307212187
2021-06-19,1.6921057120589151,0.9211377189046418
2021-06-20,1.6578718241182495,0.873837608573556
2021-06-21,1.5702222507510317,0.8437243327829981
2021-06-22,1.4922838734612778,0.8240152486682186
2021-06-23,1.3899533181105883,0.7863495639468201
2021-06-24,1.2162417957148555,0.723433547399661
2021-06-25,1.2160851231886363,0.7234454918750413
2021-06-26,1.162164453887775,0.7089061535773817
2021-06-27,1.083220139405387,0.720091374672262
2021-06-28,1.1787552435405122,0.7276530473025512
2021-06-29,1.260159274258942,0.7227845643116905
2021-06-30,1.4161023649846414,0.7348142139941115
2021-07-01,1.7527957467908049,0.7817725708679022
2021-07-02,1.9211955796201678,0.8698598989238284
2021-07-03,2.252922238656951,0.9855609797198809
2021-07-04,2.4620467448376573,1.0619318027509572
2021-07-05,2.378508612603632,1.1228146006877626
2021-07-06,2.3220444779177494,1.1719298724795137
2021-07-07,2.1704058887198756,1.241310844901324
2021-07-08,1.8088705461060086,1.33761789126299
2021-07-09,1.8382729110788432,1.483645593270735
2021-07-10,1.7890438932227994,1.6635072322662838
2021-07-11,1.743174933712082,1.811899866816826
2021-07-12,1.860984949854336,1.9383023193997242
2021-07-13,1.961937624509149,2.086375853984186
2021-07-14,2.1390186745494306,2.2417703861677416
2021-07-15,2.58558803076874,2.4910630922761396
2021-07-16,2.803375145614678,2.768077193661706
2021-07-17,3.002540720406674,3.064002027321788
2021-07-18,3.327822013992306,3.355744405379396
2021-07-19,3.3627813228502466,3.529248278196996
2021-07-20,3.4072584967490713,3.6323228508398633
2021-07-21,3.4832611880060997,3.7160790801064714
2021-07-22,3.89583362438806,3.8533152136554873
2021-07-23,4.107786503699293,3.984092578992361
2021-07-24,4.120914851729149,4.003742814166697
2021-07-25,4.165673791640559,4.120591612585177
2021-07-26,4.289701355608717,4.241020932986928
2021-07-27,4.490131743548406,4.337227309097979
2021-07-28,4.675383385110727,4.424028407396117
2021-07-29,4.5114547100307565,4.497653164485796
2021-07-30,4.826006953316507,4.730226445281583
2021-07-31,5.275804087753687,5.104463329132943
2021-08-01,5.740171301523901,5.332443449654456
2021-08-02,6.778773860005761,5.695199567948192
2021-08-03,7.242254906280747,5.934486318132017
2021-08-04,8.24453086554331,6.31878585740059
2021-08-05,10.234179115260606,7.032162872877737
2021-08-06,12.254957448982438,7.8025385105709475
2021-08-07,14.601177752433737,8.537644409719595
2021-08-08,16.03669417614528,9.4054406858715
2021-08-09,17.175581999158812,10.031269883626832
2021-08-10,18.688559985366116,10.608972269550993
2021-08-11,20.31511220644561,11.174319696642028
2021-08-12,21.456144898280446,12.002780518877666
2021-08-13,22.446263582304944,12.845287746282622
2021-08-14,23.176903316649778,13.347414630580374
2021-08-15,23.393013074831362,13.501919485683363
2021-08-16,23.161806886403422,13.463687311404042
2021-08-17,22.236995768329177,13.441283308500601
2021-08-18,21.792802930212638,13.418084880049078
2021-08-19,21.118649671990337,13.244421930703584
2021-08-20,20.027367987071816,12.880822068389781
2021-08-21,18.753538375337996,12.56606697234138
2021-08-22,18.090192318173855,12.202503522791075
2021-08-23,17.810984601303762,12.069560097714414
2021-08-24,17.81407123833149,11.940194209686222
2021-08-25,16.968524492802185,11.707766556601722
2021-08-26,16.114298905965544,11.139878662358807
2021-08-27,15.440281134501804,10.73138846533559
2021-08-28,14.794163766392733,10.330690221867082
2021-08-29,14.748871864506194,10.220705999951907
2021-08-30,14.94837563653301,10.171213225631822
2021-08-31,15.158994608481285,10.041648350580898
2021-09-01,15.378446569043978,9.90435531812831
2021-09-02,15.406815090563185,9.755772694142134
2021-09-03,16.077240716419162,9.669999081893163
2021-09-04,16.402933110791974,9.59648771989453
2021-09-05,16.40554076175811,9.463474689009416
2021-09-06,16.25311045197855,9.288317458515008
2021-09-07,16.224859411518953,9.248580262518516
2021-09-08,16.09536073906344,9.189507127300757
2021-09-09,15.998969376552504,9.026607497178572
2021-09-10,14.996023774245604,8.31683061468791
2021-09-11,14.399939263840897,7.76683998726211
2021-09-12,13.93668535354364,7.292734451992721
2021-09-13,13.347790232960351,6.890520617665787
2021-09-14,12.760774041461815,6.472349825164683
2021-09-15,11.88192854991737,6.121603880134837
2021-09-16,11.51583987248348,5.687054547854772
2021-09-17,11.248380469740795,5.369492690490853
2021-09-18,10.673740657927137,5.151769323779489
2021-09-19,10.13978639422324,4.930569293620607
2021-09-20,9.88081446118218,4.752249425527962
2021-09-21,9.691675159201367,4.646339543362352
2021-09-22,9.857268917364618,4.451463043304142
2021-09-23,8.899060651375239,4.234424021862262
2021-09-24,8.68798074589299,4.233991680260793
2021-09-25,8.7398493866865,4.102154618407002
2021-09-26,8.70181016965753,3.9338921635172284
2021-09-27,8.353222360348916,3.7978468944657324
2021-09-28,8.187100525736932,3.731984227831842
2021-09-29,7.878997517609014,3.7121401426727827
2021-09-30,7.952952897862928,3.6852400411994997
2021-10-01,7.711851321460725,3.562706121051773
2021-10-02,7.468019308068646,3.4952902076041523
2021-10-03,7.35586061560324,3.513078403315078
2021-10-04,7.332390022634811,3.513709340568402
2021-10-05,7.342596608465951,3.4709121361333666
2021-10-06,7.397941788511587,3.426720816234156
2021-10-07,7.259391186654833,3.3887984942527285
2021-10-08,7.429416233476594,3.4716117067233623
2021-10-09,7.670396580828295,3.5683098310430466
2021-10-10,7.699367048738251,3.62715518629329
2021-10-11,7.824841991683369,3.7673805039675483
2021-10-12,8.286082333541286,3.911662724919411
2021-10-13,8.995748568883448,4.140870730292144
2021-10-14,9.968250245610477,4.686967012236326
2021-10-15,10.9686591351801,4.922483172103776
2021-10-16,11.693479101928583,5.197122424856324
2021-10-17,12.544039962223382,5.437307443063017
2021-10-18,13.511334925805626,5.6487540037206445
2021-10-19,13.898144252393072,5.856381967447406
2021-10-20,14.900138675660388,6.162252025203317
2021-10-21,16.523073309485646,6.37882415245779
2021-10-22,17.059503937101685,6.5862809362153305
2021-10-23,17.3466531392716,6.7267670568323785
2021-10-24,17.731154766009247,6.981540213211425
2021-10-25,17.75418017161523,7.185985947340598
2021-10-26,17.953366688397832,7.347954244891843
2021-10-27,17.461837935497602,7.494430633513218
2021-10-28,17.303212412149158,7.738316531430668
2021-10-29,17.15836224465201,8.048274291475296
2021-10-30,17.956534541210196,8.467619768900985
2021-10-31,18.400439934959888,8.803641323341934
2021-11-01,18.766510658823808,9.066811233895852
2021-11-02,19.35286943765302,9.314258901380322
2021-11-03,20.076570079550752,9.605677034767707
2021-11-04,21.34363113955531,10.085613764704435
2021-11-05,22.36514060173668,10.353873900131642
2021-11-06,22.323350263524322,10.548302285031202
2021-11-07,22.68343190066289,10.680248311002517
2021-11-08,23.613565602962098,11.018393857402918
2021-11-09,23.738242994831346,11.317636786063753
2021-11-10,24.375747841500242,11.704880764726198
2021-11-11,24.98636789587815,12.125505441119023
2021-11-12,24.897674514220597,12.456933537851276
2021-11-13,25.273466959296826,12.856230998748941
2021-11-14,25.517385107334487,13.304955379696366
2021-11-15,25.767259123000553,13.664368857522756
2021-11-16,26.463231164210526,14.049024019533734
2021-11-17,26.676497301228405,14.50779877665562
2021-11-18,26.848926928817146,15.287252860896293
2021-11-19,27.610211652888438,15.715637149703442
2021-11-20,28.293987150093027,15.983591891330297
2021-11-21,28.70827051085709,16.202121125330358
2021-11-22,28.892116385580533,16.43784004115525
2021-11-23,28.913444721552878,16.576395979335025
2021-11-24,29.491846445419743,16.827914117495606
2021-11-25,30.111635216959485,16.98282998308658
2021-11-26,30.127262124161312,17.22274719337476
2021-11-27,29.64374101196129,17.30856536523402
2021-11-28,29.87970884288408,17.523485785110022
2021-11-29,30.06350019154841,17.65577456553442
2021-11-30,30.631757044746962,17.87589829831594
2021-12-01,30.603104688295048,17.814583021926847
2021-12-02,29.820487091954647,17.61207624453208
2021-12-03,29.82990700559222,17.632525879522607
2021-12-04,30.164766142564808,17.628266744949595
2021-12-05,29.98812312723132,17.60391383378735
