BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4184,Mettauertal,2046.0,291.0,27.0,30.0,14.222873900293257,27.0,30.0,2.0,http://i.imgur.com/gALhRfi.png
4277,Moosleerau,893.0,192.0,21.0,14.0,21.50055991041433,21.0,14.0,2.0,http://i.imgur.com/tY7Fvn4.png
4009,Muhen,3939.0,860.0,86.0,85.0,21.832952526021835,86.0,85.0,4.0,http://i.imgur.com/bL0cP46.png
4255,Mumpf,1563.0,368.0,47.0,35.0,23.544465770953295,47.0,35.0,3.0,http://i.imgur.com/4FvMR7y.png
4279,Murgenthal,2997.0,575.0,44.0,46.0,19.185852519185854,44.0,46.0,3.0,http://i.imgur.com/vQIoXmy.png
4236,Muri,8244.0,1967.0,165.0,208.0,23.85977680737506,165.0,208.0,4.0,http://i.imgur.com/djI91Qx.png
4032,Mägenwil,2128.0,548.0,60.0,58.0,25.75187969924812,60.0,58.0,4.0,http://i.imgur.com/i6P6JMV.png
4254,Möhlin,11060.0,2656.0,264.0,263.0,24.014466546112114,264.0,263.0,4.0,http://i.imgur.com/dODOirk.png
4106,Mönthal,398.0,,,,,,,,http://i.imgur.com/Yxxsjjp.png
4203,Möriken-Wildegg,4491.0,1000.0,88.0,101.0,22.266755733689603,88.0,101.0,4.0,http://i.imgur.com/0EUBHOL.png
4235,Mühlau,1210.0,238.0,23.0,24.0,19.669421487603305,23.0,24.0,2.0,http://i.imgur.com/RsXBeqQ.png
4107,Mülligen,1088.0,216.0,24.0,26.0,19.852941176470587,24.0,26.0,2.0,http://i.imgur.com/9f1bnFE.png
4172,Münchwilen,1003.0,184.0,21.0,15.0,18.344965104685944,21.0,15.0,2.0,http://i.imgur.com/28quAhM.png
4034,Neuenhof,8989.0,2289.0,145.0,206.0,25.464456558015353,145.0,206.0,4.0,http://i.imgur.com/yrqjhgc.png
4204,Niederlenz,4812.0,1155.0,99.0,101.0,24.002493765586035,99.0,101.0,4.0,http://i.imgur.com/8PjOy30.png
4035,Niederrohrdorf,4195.0,874.0,48.0,75.0,20.834326579261024,48.0,75.0,3.0,http://i.imgur.com/FIcVun6.png
4072,Niederwil,2810.0,792.0,55.0,82.0,28.18505338078292,55.0,82.0,4.0,http://i.imgur.com/W6rKm9n.png
4010,Oberentfelden,8534.0,2095.0,162.0,177.0,24.548863370049215,162.0,177.0,4.0,http://i.imgur.com/eNr44Vb.png
4173,Oberhof,589.0,117.0,8.0,14.0,19.864176570458405,8.0,14.0,1.0,http://i.imgur.com/z0ORwr7.png
4140,Oberkulm,2736.0,636.0,75.0,68.0,23.24561403508772,75.0,68.0,4.0,http://i.imgur.com/P5AI07c.png
4073,Oberlunkhofen,2036.0,443.0,46.0,68.0,21.758349705304518,46.0,68.0,3.0,http://i.imgur.com/KcFNdhq.png
4256,Obermumpf,1051.0,210.0,15.0,18.0,19.980970504281636,15.0,18.0,2.0,http://i.imgur.com/lZjt1pO.png
4037,Oberrohrdorf,4046.0,746.0,90.0,65.0,18.43796342066238,90.0,65.0,4.0,http://i.imgur.com/9yN4UPe.png
4237,Oberrüti,1540.0,391.0,31.0,43.0,25.38961038961039,31.0,43.0,3.0,http://i.imgur.com/pRsDklD.png
4038,Obersiggenthal,8688.0,1923.0,114.0,216.0,22.133977900552487,114.0,216.0,4.0,http://i.imgur.com/uJJH5dZ.png
4074,Oberwil-Lieli,2489.0,485.0,39.0,63.0,19.485737243873043,39.0,63.0,3.0,http://i.imgur.com/WgLIb5X.png
4175,Oeschgen,1066.0,247.0,47.0,34.0,23.170731707317074,47.0,34.0,3.0,http://i.imgur.com/A9axLHn.png
4280,Oftringen,14198.0,3569.0,273.0,263.0,25.13734328778701,273.0,263.0,4.0,http://i.imgur.com/yKfDk3D.png
4257,Olsberg,356.0,,,,,,,,http://i.imgur.com/vmb4c6O.png
4205,Othmarsingen,2979.0,732.0,84.0,83.0,24.57200402819738,84.0,83.0,4.0,http://i.imgur.com/534vMUa.png
4141,Reinach,8824.0,1920.0,123.0,160.0,21.758839528558475,123.0,160.0,4.0,http://i.imgur.com/Iyt0GB9.png
4281,Reitnau,1523.0,390.0,23.0,56.0,25.60735390676297,23.0,56.0,2.0,http://i.imgur.com/yEt9ppb.png
4039,Remetschwil,2021.0,397.0,30.0,31.0,19.643740722414645,30.0,31.0,2.0,http://i.imgur.com/3bWmPXL.png
4110,Remigen,1328.0,225.0,18.0,48.0,16.94277108433735,18.0,48.0,2.0,http://i.imgur.com/U0CfL6R.png
4258,Rheinfelden,13480.0,3341.0,364.0,360.0,24.784866468842733,364.0,360.0,4.0,http://i.imgur.com/9BmdPBn.png
4111,Riniken,1478.0,239.0,23.0,27.0,16.170500676589985,23.0,27.0,2.0,http://i.imgur.com/0uuXfx7.png
4282,Rothrist,9206.0,2250.0,145.0,286.0,24.4405822289811,145.0,286.0,4.0,http://i.imgur.com/9SjdW5A.png
4238,Rottenschwil,890.0,177.0,13.0,19.0,19.8876404494382,13.0,19.0,2.0,http://i.imgur.com/H1UEchi.png
4075,Rudolfstetten-Friedlisberg,4550.0,1068.0,77.0,103.0,23.47252747252747,77.0,103.0,4.0,http://i.imgur.com/0ovp26K.png
4206,Rupperswil,5537.0,1425.0,143.0,175.0,25.73595810005418,143.0,175.0,4.0,http://i.imgur.com/Ltb4dWS.png
4112,Rüfenach,856.0,166.0,17.0,13.0,19.39252336448598,17.0,13.0,2.0,http://i.imgur.com/yan4Ctu.png
4283,Safenwil,4050.0,883.0,110.0,108.0,21.80246913580247,110.0,108.0,4.0,http://i.imgur.com/f0W1g7a.png
4076,Sarmenstorf,2909.0,695.0,50.0,30.0,23.891371605362668,50.0,30.0,3.0,http://i.imgur.com/sZSmep6.png
4207,Schafisheim,2991.0,691.0,79.0,82.0,23.102641257104647,79.0,82.0,4.0,http://i.imgur.com/H3aMbia.png
4125,Schinznach,2300.0,506.0,58.0,67.0,22.0,58.0,67.0,4.0,http://i.imgur.com/QGZrvS1.png
4142,Schlossrued,818.0,182.0,9.0,15.0,22.249388753056234,9.0,15.0,1.0,http://i.imgur.com/qBWENd4.png
4143,Schmiedrued,1153.0,250.0,21.0,14.0,21.68256721595837,21.0,14.0,2.0,http://i.imgur.com/PwOUivA.png
4318,Schneisingen,1485.0,278.0,10.0,33.0,18.72053872053872,10.0,33.0,1.0,http://i.imgur.com/VRUk88K.png
4259,Schupfart,794.0,150.0,16.0,17.0,18.89168765743073,16.0,17.0,2.0,http://i.imgur.com/eMTBgqS.png
4176,Schwaderloch,704.0,114.0,6.0,8.0,16.193181818181817,6.0,8.0,1.0,http://i.imgur.com/NHfpFSM.png
4144,Schöftland,4462.0,1067.0,79.0,84.0,23.91304347826087,79.0,84.0,4.0,http://i.imgur.com/9LgvZlg.png
4208,Seengen,4096.0,918.0,61.0,77.0,22.412109375,61.0,77.0,4.0,http://i.imgur.com/5Sg16Rz.png
4209,Seon,5210.0,1338.0,78.0,107.0,25.681381957773514,78.0,107.0,4.0,http://i.imgur.com/cQJKG8S.png
4319,Siglistorf,649.0,164.0,15.0,25.0,25.26964560862866,15.0,25.0,2.0,http://i.imgur.com/npW0y0w.png
