BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4207,Schafisheim,2991.0,1009.0,89.0,56.0,33.73453694416583,89.0,56.0,4.0,http://i.imgur.com/H3aMbia.png
4125,Schinznach,2300.0,693.0,49.0,35.0,30.130434782608695,49.0,35.0,3.0,http://i.imgur.com/QGZrvS1.png
4142,Schlossrued,818.0,272.0,19.0,26.0,33.251833740831295,19.0,26.0,2.0,http://i.imgur.com/qBWENd4.png
4143,Schmiedrued,1153.0,389.0,29.0,25.0,33.738074588031225,29.0,25.0,2.0,http://i.imgur.com/PwOUivA.png
4318,Schneisingen,1485.0,399.0,31.0,15.0,26.86868686868687,31.0,15.0,3.0,http://i.imgur.com/VRUk88K.png
4259,Schupfart,794.0,241.0,17.0,14.0,30.35264483627204,17.0,14.0,2.0,http://i.imgur.com/eMTBgqS.png
4176,Schwaderloch,704.0,169.0,12.0,7.0,24.005681818181817,12.0,7.0,2.0,http://i.imgur.com/NHfpFSM.png
4144,Schöftland,4462.0,1528.0,143.0,112.0,34.24473330345137,143.0,112.0,4.0,http://i.imgur.com/9LgvZlg.png
4208,Seengen,4096.0,1399.0,120.0,125.0,34.1552734375,120.0,125.0,4.0,http://i.imgur.com/5Sg16Rz.png
4209,Seon,5210.0,1884.0,157.0,123.0,36.16122840690979,157.0,123.0,4.0,http://i.imgur.com/cQJKG8S.png
4319,Siglistorf,649.0,226.0,19.0,12.0,34.82280431432974,19.0,12.0,2.0,http://i.imgur.com/npW0y0w.png
4239,Sins,4297.0,1554.0,120.0,79.0,36.16476611589481,120.0,79.0,4.0,http://i.imgur.com/I3auIg0.png
4177,Sisseln,1597.0,605.0,53.0,30.0,37.88353162179086,53.0,30.0,4.0,http://i.imgur.com/7RvTKOe.png
4040,Spreitenbach,12146.0,4242.0,201.0,203.0,34.92507821505022,201.0,203.0,4.0,http://i.imgur.com/rTrCwxh.png
4284,Staffelbach,1314.0,464.0,31.0,23.0,35.31202435312024,31.0,23.0,3.0,http://i.imgur.com/3J4WNhu.png
4210,Staufen,3993.0,1406.0,125.0,93.0,35.21162033558728,125.0,93.0,4.0,http://i.imgur.com/GQ3xIgp.png
4260,Stein,3146.0,1005.0,41.0,47.0,31.945327399872852,41.0,47.0,3.0,http://i.imgur.com/3moofQ2.png
4041,Stetten,2213.0,714.0,42.0,32.0,32.26389516493448,42.0,32.0,3.0,http://i.imgur.com/Qeadgb2.png
4285,Strengelbach,4850.0,1658.0,140.0,119.0,34.18556701030928,140.0,119.0,4.0,http://i.imgur.com/zvfHrHe.png
4012,Suhr,10512.0,3959.0,256.0,176.0,37.6617199391172,256.0,176.0,4.0,http://i.imgur.com/lcfdzfA.png
4320,Tegerfelden,1184.0,403.0,31.0,28.0,34.03716216216216,31.0,28.0,3.0,http://i.imgur.com/EVYOopQ.png
4145,Teufenthal,1669.0,518.0,50.0,45.0,31.036548831635706,50.0,45.0,3.0,http://i.imgur.com/NvOAkJh.png
