BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,kategorie_sieben_tage,Wappen
4184,Mettauertal,2046.0,171.0,14.0,6,8.357771260997067,2.0,http://i.imgur.com/gALhRfi.png
4277,Moosleerau,893.0,120.0,3.0,0-3,13.437849944008958,0.0,http://i.imgur.com/tY7Fvn4.png
4009,Muhen,3939.0,522.0,20.0,27,13.252094440213252,2.0,http://i.imgur.com/bL0cP46.png
4255,Mumpf,1563.0,188.0,8.0,8,12.028150991682661,1.0,http://i.imgur.com/4FvMR7y.png
4279,Murgenthal,2997.0,383.0,9.0,4,12.779446112779446,1.0,http://i.imgur.com/vQIoXmy.png
4236,Muri,8244.0,1051.0,74.0,58,12.74866569626395,4.0,http://i.imgur.com/djI91Qx.png
4032,Mägenwil,2128.0,299.0,17.0,13,14.050751879699247,2.0,http://i.imgur.com/i6P6JMV.png
4254,Möhlin,11060.0,1516.0,86.0,43,13.707052441229656,4.0,http://i.imgur.com/dODOirk.png
4106,Mönthal,398.0,,,,,,http://i.imgur.com/Yxxsjjp.png
4203,Möriken-Wildegg,4491.0,608.0,41.0,36,13.538187486083277,3.0,http://i.imgur.com/0EUBHOL.png
4235,Mühlau,1210.0,127.0,16.0,13,10.49586776859504,2.0,http://i.imgur.com/RsXBeqQ.png
4107,Mülligen,1088.0,124.0,9.0,4,11.397058823529411,1.0,http://i.imgur.com/9f1bnFE.png
4172,Münchwilen,1003.0,123.0,11.0,15,12.26321036889332,2.0,http://i.imgur.com/28quAhM.png
4034,Neuenhof,8989.0,1409.0,62.0,59,15.674713538769607,4.0,http://i.imgur.com/yrqjhgc.png
4204,Niederlenz,4812.0,666.0,30.0,22,13.840399002493767,2.0,http://i.imgur.com/8PjOy30.png
4035,Niederrohrdorf,4195.0,554.0,35.0,29,13.206197854588797,3.0,http://i.imgur.com/FIcVun6.png
4072,Niederwil,2810.0,486.0,33.0,20,17.295373665480426,3.0,http://i.imgur.com/W6rKm9n.png
4010,Oberentfelden,8534.0,1315.0,55.0,53,15.408952425591751,4.0,http://i.imgur.com/eNr44Vb.png
4173,Oberhof,589.0,61.0,2.0,0-3,10.35653650254669,0.0,http://i.imgur.com/z0ORwr7.png
4140,Oberkulm,2736.0,343.0,11.0,14,12.53654970760234,2.0,http://i.imgur.com/P5AI07c.png
4073,Oberlunkhofen,2036.0,213.0,17.0,17,10.461689587426326,2.0,http://i.imgur.com/KcFNdhq.png
4256,Obermumpf,1051.0,114.0,10.0,9,10.846812559467175,1.0,http://i.imgur.com/lZjt1pO.png
4037,Oberrohrdorf,4046.0,443.0,11.0,27,10.949085516559565,2.0,http://i.imgur.com/9yN4UPe.png
4237,Oberrüti,1540.0,211.0,10.0,20,13.7012987012987,1.0,http://i.imgur.com/pRsDklD.png
4038,Obersiggenthal,8688.0,1193.0,76.0,48,13.731583793738489,4.0,http://i.imgur.com/uJJH5dZ.png
4074,Oberwil-Lieli,2489.0,233.0,22.0,16,9.361189232623543,2.0,http://i.imgur.com/WgLIb5X.png
4175,Oeschgen,1066.0,81.0,13.0,0-3,7.598499061913697,2.0,http://i.imgur.com/A9axLHn.png
4280,Oftringen,14198.0,2312.0,94.0,94,16.283983659670376,4.0,http://i.imgur.com/yKfDk3D.png
4257,Olsberg,356.0,,,,,,http://i.imgur.com/vmb4c6O.png
4205,Othmarsingen,2979.0,422.0,22.0,9,14.165827458878818,2.0,http://i.imgur.com/534vMUa.png
4141,Reinach,8824.0,1250.0,46.0,30,14.165911151405258,3.0,http://i.imgur.com/Iyt0GB9.png
4281,Reitnau,1523.0,207.0,20.0,7,13.591595535128038,2.0,http://i.imgur.com/yEt9ppb.png
4315,Rekingen,940.0,101.0,5.0,0-3,10.74468085106383,1.0,http://i.imgur.com/L3LxyZ0.png
4039,Remetschwil,2021.0,242.0,10.0,17,11.974270163285503,1.0,http://i.imgur.com/3bWmPXL.png
4110,Remigen,1328.0,106.0,7.0,0-3,7.981927710843372,1.0,http://i.imgur.com/U0CfL6R.png
4258,Rheinfelden,13480.0,1922.0,107.0,102,14.258160237388722,4.0,http://i.imgur.com/9BmdPBn.png
4316,Rietheim,722.0,88.0,3.0,0-3,12.18836565096953,0.0,http://i.imgur.com/GdFbyfK.png
4111,Riniken,1478.0,123.0,7.0,8,8.322056833558863,1.0,http://i.imgur.com/0uuXfx7.png
4282,Rothrist,9206.0,1373.0,46.0,48,14.914186400173799,3.0,http://i.imgur.com/9SjdW5A.png
4238,Rottenschwil,890.0,99.0,14.0,5,11.123595505617978,2.0,http://i.imgur.com/H1UEchi.png
4075,Rudolfstetten-Friedlisberg,4550.0,625.0,43.0,15,13.736263736263737,3.0,http://i.imgur.com/0ovp26K.png
4206,Rupperswil,5537.0,743.0,48.0,49,13.418818854975619,3.0,http://i.imgur.com/Ltb4dWS.png
4112,Rüfenach,856.0,67.0,2.0,0-3,7.827102803738317,0.0,http://i.imgur.com/yan4Ctu.png
4317,Rümikon,333.0,,,,,,http://i.imgur.com/yB4U0hv.png
4283,Safenwil,4050.0,466.0,29.0,28,11.506172839506174,2.0,http://i.imgur.com/f0W1g7a.png
4076,Sarmenstorf,2909.0,464.0,42.0,8,15.950498453076658,3.0,http://i.imgur.com/sZSmep6.png
4207,Schafisheim,2991.0,407.0,27.0,32,13.607489134068873,2.0,http://i.imgur.com/H3aMbia.png
4125,Schinznach,2300.0,247.0,13.0,16,10.739130434782608,2.0,http://i.imgur.com/QGZrvS1.png
4142,Schlossrued,818.0,99.0,2.0,8,12.102689486552567,0.0,http://i.imgur.com/qBWENd4.png
4143,Schmiedrued,1153.0,159.0,16.0,16,13.790112749349523,2.0,http://i.imgur.com/PwOUivA.png
4318,Schneisingen,1485.0,163.0,20.0,14,10.976430976430976,2.0,http://i.imgur.com/VRUk88K.png
4259,Schupfart,794.0,82.0,4.0,0-3,10.327455919395465,1.0,http://i.imgur.com/eMTBgqS.png
4176,Schwaderloch,704.0,73.0,7.0,0-3,10.369318181818182,1.0,http://i.imgur.com/NHfpFSM.png
4144,Schöftland,4462.0,678.0,28.0,18,15.194979829672791,2.0,http://i.imgur.com/9LgvZlg.png
4208,Seengen,4096.0,552.0,59.0,54,13.4765625,4.0,http://i.imgur.com/5Sg16Rz.png
4209,Seon,5210.0,891.0,64.0,40,17.10172744721689,4.0,http://i.imgur.com/cQJKG8S.png
4319,Siglistorf,649.0,98.0,3.0,0-3,15.10015408320493,0.0,http://i.imgur.com/npW0y0w.png
4239,Sins,4297.0,559.0,42.0,31,13.009076099604375,3.0,http://i.imgur.com/I3auIg0.png
4177,Sisseln,1597.0,184.0,4.0,5,11.521603005635567,1.0,http://i.imgur.com/7RvTKOe.png
4040,Spreitenbach,12146.0,1937.0,80.0,58,15.947637082166969,4.0,http://i.imgur.com/rTrCwxh.png
4284,Staffelbach,1314.0,182.0,14.0,7,13.850837138508371,2.0,http://i.imgur.com/3J4WNhu.png
4210,Staufen,3993.0,498.0,46.0,38,12.47182569496619,3.0,http://i.imgur.com/GQ3xIgp.png
4260,Stein,3146.0,382.0,19.0,14,12.142403051493961,2.0,http://i.imgur.com/3moofQ2.png
4041,Stetten,2213.0,295.0,29.0,27,13.330320831450521,2.0,http://i.imgur.com/Qeadgb2.png
4285,Strengelbach,4850.0,647.0,21.0,22,13.34020618556701,2.0,http://i.imgur.com/zvfHrHe.png
4012,Suhr,10512.0,1690.0,92.0,47,16.076864535768646,4.0,http://i.imgur.com/lcfdzfA.png
4320,Tegerfelden,1184.0,147.0,8.0,0-3,12.41554054054054,1.0,http://i.imgur.com/EVYOopQ.png
4145,Teufenthal,1669.0,138.0,15.0,10,8.268424206111444,2.0,http://i.imgur.com/NvOAkJh.png
4117,Thalheim,818.0,75.0,9.0,6,9.168704156479219,1.0,http://i.imgur.com/esL6zNk.png
4042,Turgi,2966.0,495.0,14.0,16,16.689143627781526,2.0,http://i.imgur.com/PzCWLUz.png
4077,Tägerig,1473.0,237.0,6.0,11,16.08961303462322,1.0,http://i.imgur.com/zvpZnBf.png
